session_id,msisdn,package_code,used_imei,session_time,network_type,payload_mb
CDR000000001,85254880966,PKG-008,350000000003139,2023-02-12 03:33:00,4G,1153.63
CDR000000002,85271729455,PKG-009,350000000002881,2023-04-23 21:57:00,4G,224.37
CDR000000004,81225426120,PKG-006,350000000511814,2023-09-26 14:16:00,4G,1538.98
CDR000000005,85267756806,PKG-010,350000000003958,2023-04-28 02:06:00,4G,1722.07
CDR000000006,82161437190,PKG-006,350000000215530,2023-03-16 18:46:00,4G,753.83
CDR000000007,85290794413,PKG-004,350000000003450,2023-11-18 12:41:00,3G,685.71
CDR000000008,82234093042,PKG-002,350000000004074,2023-08-31 12:52:00,4G,1818.89
CDR000000009,81157153696,PKG-007,350000000001928,2023-07-06 21:16:00,3G,235.62
CDR000000010,82171162495,PKG-005,350000009999999,2023-08-28 09:50:00,4G,115.52
CDR000000011,85246345149,PKG-005,350000000008469,2023-06-07 12:33:00,4G,1635.36
CDR000000012,81166998328,PKG-008,350000000236036,2023-09-01 01:43:00,4G,24.99
CDR000000013,81288091149,PKG-006,350000000002332,2023-07-05 11:10:00,4G,1184.28
CDR000000014,82136862788,PKG-010,350000000006018,2023-09-14 17:03:00,3G,618.42
CDR000000015,81163627586,PKG-009,350000000005575,2023-02-20 17:43:00,5G,969.99
CDR000000016,81182394967,PKG-001,350000000007358,2023-01-31 15:28:00,4G,670.32
CDR000000017,81291516184,PKG-002,350000000008307,2023-01-31 03:30:00,4G,363.57
CDR000000018,85228476359,PKG-008,350000000008147,2023-09-07 20:01:00,4G,1255.01
CDR000000019,82147310551,PKG-010,350000000007080,2023-11-15 17:19:00,5G,673.37
CDR000000020,82116045395,PKG-003,350000000005225,2023-10-10 17:39:00,4G,892.37
CDR000000021,82276155783,PKG-002,350000000004686,2023-11-25 13:07:00,4G,1165.85
CDR000000022,81278286243,PKG-006,350000000002001,2023-08-22 19:57:00,5G,788.18
CDR000000023,81152355117,PKG-002,350000000002861,2023-08-23 04:43:00,4G,696.91
CDR000000024,85274400316,PKG-006,350000000006872,2023-03-11 00:00:00,4G,1860.75
CDR000000025,81267140856,PKG-005,350000000385242,2023-10-18 06:02:00,5G,509.41
CDR000000026,81245911125,PKG-004,350000000005553,2023-04-21 13:27:00,4G,897.53
CDR000000028,81283819398,PKG-003,350000000001097,2023-09-19 20:43:00,4G,525.57
CDR000000029,81238561677,PKG-010,350000000677850,2023-11-06 22:16:00,5G,1334.34
CDR000000030,81238968360,PKG-001,350000000004306,2023-07-07 06:10:00,4G,1925.24
CDR000000031,81234697225,PKG-007,350000000007293,2023-05-02 12:14:00,3G,1483.63
CDR000000032,85220469006,PKG-005,350000000661452,2023-04-16 20:26:00,4G,953.53
CDR000000033,81140893358,PKG-003,350000000004242,2023-04-04 20:17:00,4G,407.17
CDR000000034,81244221230,PKG-006,350000000322508,2023-02-21 06:15:00,5G,188.1
CDR000000036,85298328224,PKG-003,350000000004775,2023-08-04 05:25:00,4G,1234.16
CDR000000037,82295224263,PKG-001,350000000768991,2023-11-21 15:43:00,4G,331.83
CDR000000038,82138394823,PKG-002,350000000005915,2023-08-29 03:10:00,3G,524.48
CDR000000039,81248703359,PKG-007,350000000001221,2023-03-17 18:08:00,4G,1432.91
CDR000000040,85297534466,PKG-002,350000000586654,2023-08-01 20:16:00,4G,620.09
CDR000000041,82114693253,PKG-001,350000000006319,2023-07-12 10:43:00,4G,1384.55
CDR000000042,81194660913,PKG-007,350000000004211,2023-11-15 17:36:00,4G,119.73
CDR000000043,82116723090,PKG-004,350000000003680,2023-03-07 17:19:00,4G,1729.72
CDR000000044,85299984555,PKG-002,350000000005627,2023-11-07 08:09:00,3G,1773.43
CDR000000045,81182842285,PKG-003,350000000755756,2023-06-25 14:24:00,3G,107.69
CDR000000046,81229915769,PKG-006,350000000001698,2023-06-06 04:56:00,3G,1722.75
CDR000000047,81210859111,PKG-003,350000000001528,2023-01-29 13:40:00,4G,1925.69
CDR000000048,81268236358,PKG-004,350000000002578,2023-03-24 05:54:00,3G,244.7
CDR000000049,82261956614,PKG-003,350000000612009,2023-03-07 22:24:00,4G,1781.62
CDR000000050,82251273839,PKG-008,350000000006433,2023-08-02 00:46:00,5G,1681.54
CDR000000051,85279996250,PKG-001,350000000006153,2023-08-19 15:39:00,4G,1932.2
CDR000000052,81177581855,PKG-003,350000000005171,2023-09-22 13:25:00,3G,116.86
CDR000000054,85233223778,PKG-003,350000009999999,2023-09-11 17:04:00,5G,1885.62
CDR000000055,85258553090,PKG-006,350000000005046,2023-09-19 12:12:00,4G,1909.01
CDR000000056,82218872845,PKG-006,350000000003566,2023-08-26 00:08:00,4G,1487.37
CDR000000057,85218243852,PKG-001,350000000001076,2023-03-19 08:51:00,3G,1167.12
CDR000000058,81270050737,PKG-002,350000000003104,2023-10-09 17:30:00,4G,40.4
CDR000000059,85260647632,PKG-006,350000000006398,2023-06-17 13:39:00,4G,691.03
CDR000000060,82210272489,PKG-003,350000000001702,2023-10-20 08:30:00,5G,1925.15
CDR000000061,82183089439,PKG-004,350000000002851,2023-10-04 10:05:00,5G,58.42
CDR000000062,85264043033,PKG-003,350000000008393,2023-10-03 21:42:00,4G,537.91
CDR000000063,81299958975,PKG-009,350000009999999,2023-05-03 10:57:00,4G,0.01
